,url,Name,Nombre
96,/gamepanel?game=marcopolotwo, Marco Polo II: In the Service of the Khan , Marco Polo II: Al Servicio del Kan 
97,/gamepanel?game=lettertycoon, Letter Tycoon , Letter Tycoon 
98,/gamepanel?game=incangold, Incan Gold , Diamantes 
99,/gamepanel?game=marcopolo, The Voyages of Marco Polo , Los Viajes de Marco Polo 
100,/gamepanel?game=newfrontiers, New Frontiers , New Frontiers 
101,/gamepanel?game=abandonallartichokes, Abandon All Artichokes ," ¿Alcachofas? ¡No, Gracias! "
102,/gamepanel?game=russianrailroads, Russian Railroads , Russian Railroads 
103,/gamepanel?game=yokohama, Yokohama , Yokohama 
104,/gamepanel?game=chess, Chess , Ajedrez 
105,/gamepanel?game=marrakech, Marrakech , Marrakech 
106,/gamepanel?game=thurnandtaxis, Thurn and Taxis , Thurn and Taxis 
107,/gamepanel?game=superfantasybrawl, Super Fantasy Brawl , Super Fantasy Brawl 
108,/gamepanel?game=elgrande, El Grande , El Grande 
109,/gamepanel?game=abyss, Abyss , Abyss 
110,/gamepanel?game=teotihuacan, Teotihuacan: City of Gods , Teotihuacán: Ciudad de Dioses 
111,/gamepanel?game=koikoi, Koi-Koi , Koi-Koi 
112,/gamepanel?game=similo, Similo , Similo 
113,/gamepanel?game=scopa, Scopa , Scopa 
114,/gamepanel?game=lasvegan, Las Vegan , Las Vegan 
115,/gamepanel?game=luxor, Luxor , Luxor 
116,/gamepanel?game=justdesserts, Just Desserts , Mi Postre Favorito 
117,/gamepanel?game=trektwelve, Trek 12 , Trek 12 
118,/gamepanel?game=werewolves, The Werewolves of Miller's Hollow , Los Hombres Lobo de Castronegro 
119,/gamepanel?game=viamagica, Via Magica , Via Magica 
120,/gamepanel?game=hive, Hive , Hive 
121,/gamepanel?game=dobble, Spot it , Dobble 
122,/gamepanel?game=happycity, Happy City , Happy City 
123,/gamepanel?game=automobiles, Automobiles , Automobiles 
124,/gamepanel?game=tashkalar, Tash-Kalar , Tash-Kalar 
125,/gamepanel?game=coltexpress, Colt Express , Colt Express 
126,/gamepanel?game=sobektwoplayers, Sobek: 2 Players , Sobek: 2 jugadores 
127,/gamepanel?game=tranquility, Tranquility , Tranquility 
128,/gamepanel?game=forbiddenisland, Forbidden Island , La Isla Prohibida 
129,/gamepanel?game=santorini, Santorini , Santorini 
130,/gamepanel?game=concept, Concept , Concept 
131,/gamepanel?game=gonutsfordonuts, Go Nuts for Donuts , Go Nuts for Donuts 
132,/gamepanel?game=conspiracy, Conspiracy , Conspiracy: Abyss Universe 
133,/gamepanel?game=imhotep, Imhotep , Imhotep - El constructor de Egipto 
134,/gamepanel?game=flamingpyramids, Flaming Pyramids , Flaming Pyramids 
135,/gamepanel?game=spaceempires, Space Empires: 4X , Space Empires: 4X 
136,/gamepanel?game=numberdrop, Number Drop , Number Drop 
137,/gamepanel?game=thirteenclues, 13 Clues , 13 Pistas 
138,/gamepanel?game=cityofthebigshoulders, City of the Big Shoulders , City of the Big Shoulders 
139,/gamepanel?game=fluxx, Fluxx , Fluxx 
140,/gamepanel?game=haiclue, Haiclue , Haiclue 
141,/gamepanel?game=coloretto, Coloretto , Coloretto 
142,/gamepanel?game=oriflamme, Oriflamme , Oriflamme 
143,/gamepanel?game=troyes, Troyes , Troyes 
144,/gamepanel?game=lewisclark, Lewis & Clark , Lewis & Clark 
